Product,Issue,Company,State,Consumer disputed?,Cluster
Debt collection,"Loan modification,collection,foreclosure",Transworld Systems Inc.,TN,No,14
Credit card,Billing disputes,Citibank,PA,Yes,10
Credit reporting,Credit monitoring or identity protection,Equifax,GA,No,0
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,VA,No,9
Credit reporting,Credit monitoring or identity protection,Experian,FL,No,0
Student loan,Repaying your loan,AES/PHEAA,TN,No,11
Bank account or service,Deposits and withdrawals,U.S. Bancorp,ID,No,14
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,MI,No,13
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,FL,No,9
Debt collection,Communication tactics,Capital One,WI,No,3
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,TX,No,9
Credit card,Identity theft / Fraud / Embezzlement,Capital One,MD,No,3
Credit card,Collection debt dispute,Capital One,PA,Yes,10
Debt collection,"Loan modification,collection,foreclosure",The Phoenix Recovery Group,TN,Yes,5
Bank account or service,Using a debit or ATM card,TD Bank US Holding Company,GA,Yes,5
Consumer Loan,Managing the loan or lease,BB&T Financial,NC,No,17
Mortgage,"Loan servicing, payments, escrow account",Bank of America,SC,No,17
Mortgage,"Loan servicing, payments, escrow account","Seterus, Inc.",CA,No,13
Credit card,Billing disputes,Synchrony Financial,NY,No,2
Credit card,Credit determination,Citibank,NY,No,3
Credit reporting,Credit monitoring or identity protection,"TransUnion Intermediate Holdings, Inc.",NV,No,14
Mortgage,"Loan servicing, payments, escrow account",Loan Care,TX,No,7
Credit reporting,Credit reporting company's investigation,Experian,CA,Yes,12
Credit card,Rewards,Fifth Third Financial Corporation,OH,Yes,12
Credit reporting,Credit monitoring or identity protection,Experian,SC,No,0
Consumer Loan,Taking out the loan or lease,JPMorgan Chase & Co.,WV,No,7
Credit card,Closing/Cancelling account,Discover,AZ,No,0
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",MN,No,14
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",CA,No,14
Credit reporting,Unable to get credit report/credit score,Experian,WI,No,0
Bank account or service,Using a debit or ATM card,Fifth Third Financial Corporation,FL,No,0
Bank account or service,Problems caused by my funds being low,U.S. Bancorp,WA,No,14
Bank account or service,Deposits and withdrawals,BB&T Financial,PA,No,17
Consumer Loan,Managing the loan or lease,Nissan Motor Acceptance Corporation,TX,Yes,8
Payday loan,Received a loan I didn't apply for,"LDF Holdings, LLC",MN,No,7
Mortgage,Settlement process and costs,Wells Fargo & Company,OH,No,9
Debt collection,Communication tactics,"Platinum Holdings Group, LLC",CA,Yes,8
Prepaid card,Adding money,"Incomm Holdings, Inc.",CA,Yes,1
Credit reporting,Credit reporting company's investigation,Equifax,GA,No,0
Credit card,Identity theft / Fraud / Embezzlement,Citibank,AR,No,3
Consumer Loan,Managing the loan or lease,Fifth Third Financial Corporation,TX,Yes,12
Mortgage,"Application, originator, mortgage broker",Sierra Pacific Mortgage,VA,No,13
Credit card,Bankruptcy,Bank of America,CA,No,17
Debt collection,Communication tactics,Capital Servicing Group,CA,No,3
Bank account or service,Problems caused by my funds being low,JPMorgan Chase & Co.,IL,No,7
Payday loan,Charged fees or interest I didn't expect,Direct Capital,CA,Yes,12
Student loan,Can't repay my loan,Discover,IL,No,0
Consumer Loan,Managing the loan or lease,Santander Consumer USA Holdings Inc,TX,No,13
Debt collection,"Loan modification,collection,foreclosure",Ad Astra Recovery Services Inc,TX,No,11
Credit card,Collection practices,Capital One,NJ,No,3
Bank account or service,"Account opening, closing, or management",Capital One,NY,No,3
Credit card,Advertising and marketing,Capital One,NC,No,3
Bank account or service,"Account opening, closing, or management",Fifth Third Financial Corporation,DE,No,0
Bank account or service,Problems caused by my funds being low,TD Bank US Holding Company,PA,No,2
Bank account or service,Deposits and withdrawals,Capital One,NY,No,3
Credit card,Payoff process,Citibank,NY,Yes,10
Mortgage,Credit decision / Underwriting,Wells Fargo & Company,LA,No,9
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,PA,Yes,15
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,NJ,Yes,15
Credit reporting,Unable to get credit report/credit score,Equifax,MA,Yes,12
Credit card,Late fee,Citibank,IL,Yes,10
Debt collection,False statements or representation,"Navient Solutions, Inc.",IL,No,16
Credit reporting,Improper use of my credit report,CoreLogic,LA,No,3
Mortgage,"Loan servicing, payments, escrow account",Citibank,MA,No,3
Debt collection,"Loan modification,collection,foreclosure",Discover,MN,No,0
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,PA,No,0
Prepaid card,"Managing, opening, or closing account","Empowerment Ventures, LLC",MI,No,0
Debt collection,Improper contact or sharing of info,ConServe,MD,No,3
Credit card,Late fee,TD Bank US Holding Company,VA,No,2
Bank account or service,Problems caused by my funds being low,JPMorgan Chase & Co.,NY,No,7
Mortgage,"Loan servicing, payments, escrow account",Bank of America,SC,Yes,4
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,TX,No,14
Debt collection,"Loan modification,collection,foreclosure",Barclays PLC,WA,No,17
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.,CA,No,7
Bank account or service,Problems caused by my funds being low,TD Bank US Holding Company,NJ,No,2
Debt collection,Improper contact or sharing of info,"Fidelity National Information Services, Inc. (FNIS)",OH,No,0
Credit card,Late fee,Capital One,WA,No,3
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,NV,Yes,12
Credit card,Billing disputes,Bank of America,NC,No,17
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,VA,No,0
Credit card,Unsolicited issuance of credit card,"PayPal Holdings, Inc.",MN,No,6
Bank account or service,"Making/receiving payments, sending money",Synchrony Financial,PA,Yes,5
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,OK,No,13
Credit card,Credit reporting,Capital One,OH,No,3
Credit reporting,Unable to get credit report/credit score,Experian,FL,No,0
Credit card,Unsolicited issuance of credit card,Bank of America,CA,No,17
Bank account or service,"Making/receiving payments, sending money",Wells Fargo & Company,TX,No,9
Debt collection,Communication tactics,"Weltman, Weinberg & Reis",WA,No,9
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,CO,No,9
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,FL,No,9
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,No,16
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,CA,Yes,12
Credit card,Identity theft / Fraud / Embezzlement,Wells Fargo & Company,TX,No,9
Credit card,Advertising and marketing,Capital One,NY,No,3
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,NJ,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NC,Yes,12
Money transfers,Money was not available when promised,The Western Union Company,TX,No,14
Mortgage,"Loan servicing, payments, escrow account",Bank of America,HI,No,17
Debt collection,Communication tactics,"Virtuoso Sourcing Group, LLC.",OR,No,9
Bank account or service,"Account opening, closing, or management",BB&T Financial,SC,Yes,4
Mortgage,Credit decision / Underwriting,Quicken Loans,NY,No,13
Debt collection,Communication tactics,Professional Receivables Network,NJ,Yes,18
Credit reporting,Unable to get credit report/credit score,Equifax,MD,No,0
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,VA,No,16
Consumer Loan,Taking out the loan or lease,Synchrony Financial,NJ,No,2
Mortgage,"Loan servicing, payments, escrow account",Reverse Mortgage Solutions,CA,No,13
Bank account or service,Deposits and withdrawals,U.S. Bancorp,AR,No,14
Credit reporting,Credit reporting company's investigation,Equifax,FL,No,0
Mortgage,"Loan servicing, payments, escrow account","Stearns Ventures, LLC",CA,No,2
Mortgage,Settlement process and costs,Bank of America,MD,Yes,4
Debt collection,Communication tactics,Professional Recovery Services Inc.(Closed),DE,No,6
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,UT,No,16
Debt collection,"Loan modification,collection,foreclosure","Allgate Financial, LLC",GA,No,11
Debt collection,Improper contact or sharing of info,Partners Financial Services Inc,CA,No,6
Debt collection,"Loan modification,collection,foreclosure","GLA Collection Company, Inc.",IN,Yes,12
Debt collection,Taking/threatening an illegal action,ACE Cash Express Inc.,TX,No,11
Debt collection,Taking/threatening an illegal action,Sterling Jewelers Inc.,IL,No,2
Credit reporting,Unable to get credit report/credit score,Equifax,TX,No,0
Debt collection,Taking/threatening an illegal action,"Blatt, Hasenmiller, Leibsker & Moore, LLC",IL,No,17
Debt collection,Improper contact or sharing of info,Consumer Portfolio Services,CA,Yes,10
Credit card,Advertising and marketing,"Risecredit, LLC",CA,No,13
Mortgage,"Loan servicing, payments, escrow account",HSBC North America Holdings Inc.,NY,No,19
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",PA,No,6
Bank account or service,Deposits and withdrawals,Regions Financial Corporation,AL,No,13
Credit reporting,Unable to get credit report/credit score,Experian,MA,No,0
Prepaid card,Fraud or scam,"PayPal Holdings, Inc.",TX,No,6
Mortgage,"Application, originator, mortgage broker","Universal American Mortgage Company, LLC",CO,No,9
Debt collection,Communication tactics,Encore Capital Group,CO,Yes,12
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,FL,No,7
Consumer Loan,Managing the loan or lease,BB&T Financial,MO,No,17
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,No,6
Bank account or service,"Account opening, closing, or management",BBVA Compass,TX,No,17
Credit card,Billing disputes,JPMorgan Chase & Co.,AZ,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MI,No,0
Payday loan,Received a loan I didn't apply for,Bank of America,GA,No,17
Bank account or service,Deposits and withdrawals,BB&T Financial,PA,No,17
Mortgage,"Loan servicing, payments, escrow account",Loan Care,UT,No,7
Bank account or service,"Account opening, closing, or management",Citibank,IL,No,3
Mortgage,"Application, originator, mortgage broker",Bank of America,NY,Yes,4
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,VA,No,0
Debt collection,False statements or representation,"Credit Bureau Collection Services, Inc.",MI,No,3
Mortgage,"Loan servicing, payments, escrow account",Citibank,GA,Yes,10
Consumer Loan,Problems when you are unable to pay,Synchrony Financial,CA,No,2
Bank account or service,"Account opening, closing, or management",Bank of America,NV,No,17
Bank account or service,"Account opening, closing, or management",Navy FCU,VA,No,16
Consumer Loan,Managing the loan or lease,Wells Fargo & Company,VA,No,9
Debt collection,Communication tactics,"Seattle Service Bureau, Inc",FL,No,13
Bank account or service,Problems caused by my funds being low,PNC Bank N.A.,DC,No,6
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,UT,No,16
Credit reporting,Unable to get credit report/credit score,Experian,FL,No,0
Credit card,Identity theft / Fraud / Embezzlement,Barclays PLC,MO,No,17
Mortgage,"Loan servicing, payments, escrow account",Specialized Loan Servicing LLC,AR,No,2
Mortgage,"Loan servicing, payments, escrow account","Pacific Union Financial, LLC",GA,No,6
Mortgage,"Loan servicing, payments, escrow account",HSBC North America Holdings Inc.,VA,No,19
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,FL,No,7
Debt collection,Communication tactics,"Hunt & Kahn, P.A.",FL,No,7
Debt collection,Communication tactics,American Coradius International LLC,OH,No,11
Bank account or service,Deposits and withdrawals,Bank of America,VA,No,17
Mortgage,"Loan servicing, payments, escrow account","Bayview Loan Servicing, LLC",FL,No,17
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",FL,No,16
Credit card,Billing disputes,Bank of America,CA,No,17
Debt collection,"Loan modification,collection,foreclosure","Commonwealth Financial Systems, Inc.",TX,No,3
Debt collection,Communication tactics,"Check into Cash, Inc.",CA,No,3
Bank account or service,Problems caused by my funds being low,JPMorgan Chase & Co.,IL,No,7
Bank account or service,Problems caused by my funds being low,Valley National Bank,NY,No,9
Bank account or service,"Account opening, closing, or management",The Huntington National Bank,OH,No,2
Bank account or service,"Making/receiving payments, sending money","Citizens Financial Group, Inc.",MI,Yes,10
Mortgage,"Application, originator, mortgage broker",HSBC North America Holdings Inc.,NY,Yes,1
Debt collection,Communication tactics,"Northland Group, Inc.",OH,No,6
Prepaid card,Adding money,"NetSpend Corporation,  a TSYS Company",NC,No,16
Money transfers,Money was not available when promised,MoneyGram,CA,No,16
Student loan,Repaying your loan,"Navient Solutions, Inc.",NY,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Santander Bank US,NJ,No,13
Debt collection,Communication tactics,Ditech Financial LLC,TX,No,0
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MA,No,7
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CO,No,6
Consumer Loan,Problems when you are unable to pay,Ford Motor Credit Company,NY,No,19
Debt collection,Taking/threatening an illegal action,"CMRE Financial Services, Inc.",CA,No,3
Student loan,Getting a loan,Student Loan Finance Corporation,NY,No,2
Debt collection,"Loan modification,collection,foreclosure",Quall Cardot LLP,CA,Yes,18
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,AR,No,7
Consumer Loan,Shopping for a loan or lease,"SunTrust Banks, Inc.",VA,Yes,5
Consumer Loan,Managing the loan or lease,"Enova International, Inc.",VA,No,0
Debt collection,False statements or representation,First Federal Credit Control,OH,No,19
Debt collection,Communication tactics,Windham Professionals,FL,No,9
Mortgage,"Loan servicing, payments, escrow account","Shellpoint Partners, LLC",CA,Yes,18
Debt collection,False statements or representation,"Duncan Solutions, lnc.",MD,No,0
Debt collection,Communication tactics,"The Leviton Law Firm, Ltd.",CA,No,2
Debt collection,False statements or representation,Transworld Systems Inc.,FL,Yes,5
Consumer Loan,Managing the loan or lease,American Honda Finance Corporation,MI,Yes,4
Consumer Loan,Managing the loan or lease,"OneMain Financial Holdings, LLC",SC,No,6
Debt collection,Taking/threatening an illegal action,Grant & Weber,AZ,No,19
Bank account or service,Deposits and withdrawals,Regions Financial Corporation,GA,No,13
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CO,Yes,8
Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",FL,No,13
Credit card,Credit determination,Citibank,CA,Yes,10
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,IL,No,9
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,TX,No,16
Mortgage,"Application, originator, mortgage broker",JPMorgan Chase & Co.,CT,Yes,1
Debt collection,Taking/threatening an illegal action,Premier Recovery Group,TX,No,6
